 year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
 2018,27.88,27.85,28.10,28.65,29.07,29.21,29.13,29.24,29.34,29.71,29.61,29.45
 2019,29.08,28.91,28.96,29.15,29.45,29.58,29.66,29.44,29.34,29.51,29.46,29.41
 2020,29.17,28.97,29.07,29.15,29.01,29.09,28.89,28.47,28.21,27.96,27.80,27.54
 2021,27.27,27.24,27.67,28.20,28.71,28.83,28.67,28.50,28.22,28.03,28.02,27.80
 2022,27.95,27.83,27.63,27.80,28.12,28.27,27.92,27.70,27.59,27.64,27.71,27.70
