,T2M,RH2M,WS2M,WD2M,ALLSKY_SFC_SW_DWN,PRECIPITATIONCAL
20170410,33.2,12.75,1.83,185.75,6.81,0.0
20170411,32.17,8.69,2.34,29.5,7.71,0.0
20170412,33.33,9.0,1.24,67.31,7.63,0.0
20170413,33.39,12.94,1.49,140.12,7.39,0.0
20170414,33.31,28.75,2.15,141.31,7.07,0.0
20170415,33.94,29.5,2.35,169.38,7.15,0.0
20170416,35.03,20.25,2.29,217.12,7.35,0.0
20170417,35.12,12.81,1.91,157.94,7.37,0.0
20170418,35.72,19.81,1.38,235.88,6.91,0.0
20170419,35.21,24.25,1.78,225.5,6.69,0.0
20170420,35.58,22.31,1.78,253.94,7.03,0.0
20170421,35.63,20.69,1.93,266.62,7.34,0.0
20170422,35.43,17.5,2.23,287.12,7.4,0.0
20170423,34.76,16.25,2.38,304.56,7.38,0.0
20170424,34.18,15.31,2.82,315.31,7.44,0.0
20170425,34.44,16.31,2.7,312.12,7.66,0.0
20170426,35.49,14.75,1.27,277.06,7.37,0.0
20170427,36.25,15.88,1.19,121.0,6.61,0.0
20170428,35.25,22.75,2.62,272.44,6.94,0.0
20170429,35.62,16.62,2.0,270.12,5.86,2.0
20170430,35.25,23.19,1.66,239.19,3.57,0.08
20170501,34.92,25.62,2.29,214.69,6.43,0.0
20170502,34.49,33.38,2.77,153.06,6.62,0.0
20170503,34.6,34.19,2.73,159.38,6.91,0.0
20170504,35.68,29.12,2.21,160.94,7.23,0.0
20170505,37.08,24.06,2.49,206.12,6.69,1.16
20170506,37.06,29.19,3.28,196.12,6.4,0.0
20170507,35.43,36.0,3.61,163.69,6.89,0.0
20170508,35.12,34.38,2.42,146.69,6.69,0.0
20170509,34.44,37.25,1.95,138.44,6.34,0.0
20170510,32.16,50.12,3.24,160.19,6.22,0.16
20170511,32.58,46.62,2.76,169.56,7.09,0.0
20170512,34.01,40.0,3.07,158.12,6.77,0.0
20170513,35.81,36.31,2.83,162.88,7.27,0.0
20170514,36.48,34.38,3.21,190.06,5.85,0.0
20170515,37.4,32.94,3.1,231.56,6.31,0.6
20170516,38.73,25.75,3.47,306.12,7.1,0.0
20170517,37.49,24.25,4.51,299.69,6.8,0.0
20170518,37.48,22.5,3.84,312.88,6.94,0.0
20170519,38.01,19.19,2.67,280.38,7.06,0.0
20170520,38.02,21.0,2.45,242.88,7.49,0.0
20170521,37.91,20.12,1.98,235.56,7.26,0.0
20170522,37.74,25.75,2.2,145.06,7.55,0.53
20170523,37.89,26.0,2.46,174.44,6.19,0.14
20170524,37.56,27.81,2.59,146.56,7.05,0.04
20170525,37.37,32.69,3.3,174.19,6.52,0.0
20170526,35.86,41.81,3.1,172.5,5.84,2.59
20170527,35.19,45.06,3.28,205.25,5.97,10.92
20170528,35.14,45.75,2.81,156.75,6.35,2.57
20170529,34.67,47.19,2.73,244.94,7.33,0.0
20170530,35.64,38.81,3.77,267.75,6.89,0.06
20170531,36.3,36.31,3.22,237.06,6.87,0.01
20170601,36.1,38.75,2.91,182.31,6.96,0.0
20170602,36.56,36.5,2.41,165.88,6.81,0.0
20170603,35.87,39.75,2.71,175.25,5.89,16.6
20170604,35.19,41.62,3.3,264.0,5.37,0.05
20170605,35.26,44.81,3.2,291.31,4.73,0.01
20170606,31.24,61.31,3.46,292.31,5.9,9.42
20170607,29.86,70.25,3.06,303.69,4.15,14.26
20170608,27.52,77.88,4.01,283.69,5.59,1.51
20170609,28.36,73.0,3.7,285.31,4.23,6.07
20170610,28.16,75.81,2.55,258.56,4.32,22.42
20170611,28.12,75.25,2.24,237.31,4.52,1.45
20170612,28.01,77.5,2.02,211.62,3.69,13.9
20170613,27.44,82.0,2.2,160.25,3.17,35.17
20170614,28.03,81.12,3.14,303.56,4.04,0.41
20170615,28.17,78.0,3.33,267.38,2.86,3.58
20170616,27.58,79.19,2.37,264.0,4.55,0.11
20170617,28.76,71.44,2.24,277.25,5.27,0.3
20170618,29.25,72.19,3.05,258.88,5.26,16.21
20170619,28.33,75.62,3.46,249.69,4.07,4.31
20170620,29.0,71.62,3.55,262.25,5.16,3.42
20170621,29.15,70.19,3.05,251.88,6.76,0.0
20170622,29.94,67.62,3.38,273.38,6.64,11.54
20170623,28.95,73.88,3.21,268.0,5.33,1.04
20170624,27.99,77.0,2.95,252.75,5.47,0.2
20170625,28.05,75.56,2.76,233.44,4.34,0.39
20170626,27.3,80.0,3.22,249.56,2.38,9.56
20170627,27.0,77.69,3.7,255.19,5.16,7.76
20170628,27.82,74.69,3.68,252.75,3.97,1.13
20170629,28.62,70.5,3.72,257.44,5.48,0.36
20170630,28.24,75.12,3.45,259.75,5.22,15.39
20170701,28.52,73.19,3.57,263.75,4.28,3.96
20170702,28.86,71.19,3.82,256.25,3.34,13.86
20170703,28.8,70.88,3.81,252.56,4.34,3.56
20170704,28.62,70.81,3.7,271.06,5.33,1.0
20170705,28.34,71.38,3.47,279.12,5.31,1.43
20170706,27.8,72.94,3.2,267.0,4.95,0.79
20170707,28.55,73.0,2.95,280.88,4.45,0.86
20170708,28.45,70.81,3.15,281.56,5.94,0.31
20170709,28.9,68.75,3.08,273.0,5.31,0.3
20170710,27.96,76.12,2.61,271.19,4.18,10.66
20170711,27.67,76.25,2.82,279.69,3.43,6.38
20170712,28.3,71.25,3.65,283.69,4.89,0.45
20170713,27.23,77.38,3.67,258.0,2.58,8.08
20170714,26.32,82.5,4.02,252.69,3.4,2.16
20170715,27.3,77.62,4.44,262.44,2.85,3.76
20170716,26.13,81.69,3.71,265.75,2.85,4.07
20170717,25.55,84.56,4.57,272.81,1.89,9.64
20170718,25.72,89.0,4.93,273.75,1.45,33.07
20170719,27.19,78.06,5.22,254.44,4.28,1.68
20170720,26.83,84.19,4.53,237.19,5.28,0.49
20170721,28.15,79.0,4.02,242.75,5.89,6.24
20170722,28.27,76.38,3.85,241.44,5.06,0.7
20170723,27.98,76.81,3.73,250.25,4.93,0.64
20170724,27.39,77.62,3.89,254.38,4.94,0.77
20170725,27.79,77.12,3.48,264.5,5.77,0.04
20170726,27.86,75.19,3.66,269.06,5.66,0.19
20170727,27.22,77.69,3.24,261.19,5.42,1.85
20170728,28.12,77.06,2.69,259.94,5.18,1.61
20170729,28.24,76.5,2.14,260.62,6.12,0.12
20170730,28.44,75.38,2.33,282.62,5.39,0.22
20170731,28.44,75.5,2.27,283.56,6.44,0.44
20170801,28.43,77.06,2.25,267.88,4.83,0.3
20170802,26.64,83.31,2.62,257.5,3.68,0.38
20170803,27.4,78.69,2.7,281.06,6.0,0.48
20170804,27.1,78.0,2.82,294.06,4.37,0.17
20170805,26.38,82.94,2.48,305.62,2.61,0.38
20170806,27.12,80.0,2.13,294.94,3.86,3.04
20170807,27.81,77.56,1.61,290.5,3.95,0.26
20170808,27.35,80.81,1.38,299.25,2.45,21.63
20170809,26.83,82.25,1.57,245.44,2.69,1.55
20170810,27.37,79.81,2.25,239.81,4.83,0.14
20170811,27.37,81.25,2.14,251.06,5.17,0.0
20170812,26.17,84.25,2.13,265.56,4.01,0.06
20170813,26.65,82.0,1.92,258.69,2.97,25.53
20170814,25.5,84.56,1.54,286.19,3.17,1.99
20170815,27.36,75.75,1.71,260.94,4.44,2.8
20170816,26.54,82.62,1.52,284.75,3.95,0.79
20170817,26.62,81.25,2.22,289.81,3.94,4.68
20170818,26.06,82.75,3.92,294.88,1.24,16.55
20170819,26.26,88.12,4.62,300.12,0.99,27.56
20170820,25.96,84.44,2.09,198.81,2.56,0.05
20170821,25.76,79.62,2.3,226.44,4.04,0.0
20170822,27.22,70.5,1.89,270.38,5.78,3.48
20170823,27.34,78.38,1.73,296.19,4.91,0.01
20170824,26.36,84.38,2.29,300.25,2.71,2.22
20170825,26.27,86.81,2.7,283.0,3.51,0.17
20170826,26.59,86.19,2.25,287.12,3.19,0.34
20170827,27.05,87.06,2.24,267.56,3.35,1.48
20170828,25.87,90.44,2.41,254.69,1.65,21.24
20170829,25.94,84.19,3.02,199.81,3.28,0.3
20170830,27.04,77.69,2.09,218.44,5.87,0.01
20170831,27.65,78.69,2.01,266.12,6.19,0.0
20170901,27.4,79.38,2.1,288.25,5.97,0.28
20170902,27.61,76.06,1.43,278.56,5.99,0.01
20170903,27.77,79.12,1.48,236.56,5.11,0.19
20170904,27.84,80.44,1.5,315.62,5.06,8.13
20170905,27.44,84.5,1.55,319.62,5.55,0.7
20170906,27.12,85.19,1.28,320.0,3.56,7.01
20170907,27.03,82.12,1.39,161.81,4.83,3.73
20170908,27.57,82.38,1.09,162.81,5.87,0.0
20170909,27.16,84.31,1.35,157.12,6.26,0.0
20170910,27.48,83.19,1.3,149.12,5.59,1.1
20170911,27.81,83.31,1.66,143.88,5.57,0.62
20170912,27.39,84.06,1.52,160.81,5.86,0.06
20170913,27.04,84.56,1.48,180.88,4.92,9.52
20170914,27.08,84.12,1.34,199.81,3.77,3.49
20170915,26.65,84.44,1.53,254.06,4.85,0.19
20170916,27.16,82.06,1.22,263.94,5.45,0.37
20170917,26.53,86.0,1.55,259.19,3.63,3.97
20170918,25.96,85.81,2.17,274.81,4.07,0.32
20170919,26.7,81.38,2.43,266.06,5.38,0.08
20170920,27.11,80.56,2.35,236.25,3.84,0.47
20170921,26.45,84.31,1.94,231.88,3.31,0.0
20170922,26.46,82.88,1.69,300.69,4.92,0.26
20170923,27.15,77.5,1.55,324.88,6.14,0.02
20170924,27.21,77.25,1.57,207.31,5.91,0.04
20170925,26.89,81.25,1.98,180.44,4.79,5.43
20170926,26.6,84.69,1.93,225.56,5.61,0.0
20170927,26.88,83.56,1.88,269.31,5.24,5.03
20170928,26.74,85.62,1.29,229.12,4.07,5.32
20170929,26.39,86.75,1.7,260.19,4.03,63.35
20170930,26.54,81.19,1.23,153.31,4.96,0.56
20171001,27.19,79.25,1.01,185.81,4.76,0.74
20171002,26.97,82.62,0.81,122.19,4.67,24.24
20171003,26.3,87.12,1.12,187.5,3.68,1.67
20171004,26.83,83.19,1.5,158.0,4.7,0.09
20171005,26.23,86.06,1.06,151.31,4.4,2.08
20171006,26.57,86.12,1.51,110.69,3.51,22.92
20171007,26.58,86.88,0.95,105.19,4.99,2.28
20171008,25.58,91.62,0.97,168.25,3.1,53.61
20171009,25.86,91.19,1.07,132.94,4.24,3.4
20171010,25.67,89.88,1.2,126.38,4.53,1.49
20171011,26.75,81.62,0.76,149.44,5.17,10.71
20171012,26.88,81.38,0.64,211.69,4.22,11.09
20171013,26.9,83.31,0.76,152.69,4.65,0.34
20171014,26.84,85.44,0.95,132.88,4.29,2.33
20171015,26.65,86.94,1.37,142.69,4.19,2.39
20171016,26.33,82.75,1.84,178.69,5.57,0.0
20171017,25.63,76.94,1.87,250.88,5.26,4.35
20171018,24.3,77.31,1.76,188.56,5.13,0.05
20171019,24.3,77.5,1.64,242.06,5.38,0.04
20171020,25.17,82.06,1.06,261.56,3.75,0.01
20171021,26.28,79.12,1.77,258.12,4.02,0.04
20171022,26.23,83.88,1.55,231.69,4.15,0.38
20171023,26.6,80.81,1.48,138.0,4.46,0.0
20171024,25.64,65.38,1.26,208.06,5.42,0.0
20171025,24.77,63.19,0.96,139.5,5.74,0.09
20171026,25.1,63.25,0.75,157.75,5.59,0.0
20171027,24.91,69.31,0.8,73.06,5.49,0.0
20171028,24.59,63.81,1.09,39.19,5.22,0.0
20171029,23.86,72.38,1.3,63.62,5.44,0.0
20171030,23.55,71.0,1.42,46.75,5.5,0.0
20171031,23.25,67.44,1.39,85.62,5.65,0.0
20171101,22.65,69.81,1.47,64.62,5.4,0.0
20171102,21.64,74.5,1.86,47.0,5.36,0.0
20171103,21.68,74.06,1.7,51.62,5.21,0.0
20171104,21.88,72.88,1.6,48.19,5.71,0.0
20171105,23.58,77.5,1.99,62.31,5.65,0.0
20171106,22.92,71.12,1.41,51.75,5.8,0.0
20171107,23.19,71.75,1.31,67.12,5.67,0.0
20171108,23.19,68.75,1.38,58.06,5.46,0.0
20171109,22.83,64.81,1.23,69.5,5.47,0.0
20171110,21.82,68.25,1.59,61.38,5.35,0.0
20171111,20.98,69.56,1.86,38.81,4.99,0.05
20171112,21.43,67.81,1.7,32.25,4.42,1.63
20171113,22.81,73.62,1.55,44.06,5.23,0.0
20171114,24.76,77.56,1.62,47.25,4.43,0.0
20171115,25.72,73.69,2.4,22.5,4.82,0.0
20171116,25.19,73.25,2.51,90.69,4.7,0.0
20171117,25.02,73.88,1.48,65.44,4.94,0.0
20171118,25.54,71.44,1.47,56.88,4.9,0.2
20171119,25.4,73.62,1.38,78.19,4.59,2.67
20171120,25.9,71.62,1.51,62.25,4.53,0.0
20171121,25.68,74.44,1.48,83.88,4.21,0.0
20171122,25.79,76.69,0.73,152.75,4.31,3.5
20171123,25.22,73.31,1.33,158.62,4.1,0.0
20171124,23.87,70.94,1.26,46.81,4.08,0.0
20171125,21.72,66.06,1.45,69.94,4.79,0.0
20171126,21.68,58.88,1.07,67.88,4.93,0.0
20171127,21.45,55.12,1.05,134.81,5.16,0.0
20171128,21.15,56.12,1.05,125.94,5.03,0.0
20171129,20.3,63.19,1.35,124.44,4.81,0.0
20171130,21.09,61.62,1.29,108.12,5.17,0.0
20171201,20.69,63.81,1.49,102.56,4.78,0.0
20171202,20.37,67.69,1.31,108.88,4.65,0.0
20171203,20.23,65.12,1.38,97.38,4.91,0.0
20171204,19.67,66.44,1.2,122.56,4.63,0.0
20171205,20.19,68.5,1.77,134.88,4.65,0.21
20171206,21.26,65.25,1.35,135.81,4.45,0.15
20171207,22.08,57.62,1.46,66.56,4.79,0.0
20171208,21.45,58.75,2.2,80.44,4.65,0.0
20171209,22.14,58.31,2.16,100.88,4.8,0.0
20171210,21.14,52.5,1.66,86.44,5.09,0.0
20171211,21.4,52.44,1.16,57.88,5.08,0.0
20171212,22.91,45.12,1.0,145.69,4.72,0.0
20171213,23.12,54.19,0.98,120.06,4.56,0.0
20171214,22.46,57.5,1.42,101.88,4.37,0.0
20171215,21.93,54.88,1.38,107.0,4.35,0.0
20171216,21.8,52.38,1.3,68.0,4.69,0.0
20171217,21.83,58.31,1.56,77.0,4.52,0.0
20171218,21.43,57.25,1.45,108.06,4.56,0.0
20171219,20.5,45.75,1.65,84.06,5.04,0.06
20171220,20.6,41.19,1.3,139.44,4.93,0.0
20171221,20.51,47.38,0.99,45.38,4.81,0.0
20171222,20.65,50.94,1.35,44.19,4.68,0.0
20171223,21.16,51.19,1.22,58.25,4.43,0.0
20171224,21.69,50.69,1.23,121.12,4.37,0.0
20171225,22.14,47.81,1.16,92.31,4.31,0.0
20171226,20.24,44.38,1.68,34.94,4.75,0.0
20171227,19.86,38.38,1.27,67.25,4.99,0.0
20171228,20.48,37.12,1.23,105.56,4.97,0.0
20171229,21.06,41.31,1.22,135.56,4.92,0.0
20171230,21.37,46.62,1.2,110.38,4.96,0.0
20171231,22.2,42.06,0.85,115.94,5.1,0.0
20180101,22.27,39.25,1.0,156.31,5.04,0.0
20180102,20.79,50.88,1.12,74.81,4.52,0.0
20180103,20.58,45.25,1.16,128.12,4.36,0.0
20180104,20.19,38.5,1.4,32.94,4.32,0.0
20180105,20.37,36.75,1.34,70.94,4.64,0.0
20180106,20.12,40.12,1.18,100.94,4.7,0.0
20180107,20.82,38.19,0.93,97.69,4.39,0.0
20180108,20.24,44.75,1.52,89.5,4.38,0.0
20180109,20.08,40.06,1.2,74.81,4.78,0.0
20180110,21.33,35.62,1.14,48.56,4.98,0.0
20180111,22.26,35.5,1.17,34.81,4.88,0.0
20180112,23.4,30.44,1.3,29.0,4.81,0.0
20180113,23.89,31.44,1.44,39.69,5.02,0.0
20180114,23.51,40.12,1.41,67.62,4.51,0.01
20180115,23.44,42.81,1.22,75.25,4.12,0.04
20180116,23.51,38.06,1.62,39.62,5.01,0.0
20180117,22.65,35.31,1.44,58.94,5.06,0.0
20180118,22.08,31.0,1.48,36.31,5.3,0.0
20180119,21.7,27.12,1.47,41.38,5.51,0.03
20180120,21.87,25.44,1.2,59.56,5.5,0.0
20180121,22.98,24.38,1.03,126.06,5.17,0.0
20180122,21.61,40.69,1.44,138.62,5.0,0.0
20180123,22.44,49.0,1.75,174.94,4.57,0.0
20180124,22.98,37.38,1.59,235.5,4.33,0.0
20180125,21.48,23.38,1.87,247.69,4.86,0.0
20180126,21.21,16.31,1.31,101.0,5.59,0.0
20180127,21.51,16.81,1.1,46.44,5.06,0.0
20180128,21.34,23.62,1.38,62.56,4.89,0.0
20180129,21.69,27.5,1.67,66.5,5.35,0.0
20180130,22.48,22.62,1.59,39.19,5.87,0.0
20180131,23.55,18.38,1.56,114.38,6.07,0.0
20180201,24.2,15.75,1.7,133.56,6.16,0.0
20180202,24.63,16.44,1.03,139.31,6.03,0.0
20180203,24.1,25.19,1.5,143.25,6.02,0.0
20180204,24.01,36.62,1.81,159.25,5.93,0.0
20180205,24.77,36.0,2.12,162.88,5.48,0.0
20180206,25.18,36.31,1.38,125.75,5.39,0.05
20180207,24.28,36.38,1.01,173.81,2.98,2.07
20180208,26.33,31.44,1.06,204.38,5.85,0.0
20180209,25.95,28.69,1.73,266.88,4.24,0.06
20180210,25.82,27.5,0.91,92.88,3.4,0.45
20180211,26.38,44.38,3.23,149.88,4.47,0.07
20180212,25.74,52.19,2.44,157.56,4.29,0.0
20180213,25.92,49.88,2.08,157.44,4.71,0.0
20180214,25.05,50.88,2.27,39.69,5.62,0.0
20180215,24.56,44.75,2.07,21.06,5.76,0.0
20180216,23.73,30.0,2.11,16.12,5.8,0.0
20180217,24.37,27.44,1.91,20.06,6.53,0.0
20180218,25.34,28.06,1.24,93.31,6.21,0.0
20180219,26.25,32.81,1.23,118.06,5.88,0.0
20180220,26.81,42.75,1.54,111.25,5.56,0.0
20180221,27.24,36.12,1.62,77.12,5.4,0.0
20180222,27.29,31.56,1.52,72.12,5.75,0.0
20180223,27.51,34.88,1.62,114.62,5.93,0.0
20180224,27.3,35.44,2.2,152.12,6.38,0.0
20180225,27.7,32.62,1.64,132.88,6.55,0.0
20180226,28.53,23.69,1.54,92.25,6.19,0.0
20180227,28.87,26.06,1.84,33.12,5.92,0.0
20180228,28.33,18.94,1.62,46.0,6.49,0.0
20180301,28.62,17.62,1.45,64.75,6.52,0.0
20180302,30.33,18.94,1.22,78.12,6.52,0.0
20180303,30.5,20.69,1.23,108.5,5.96,0.0
20180304,30.36,20.5,1.27,146.62,5.99,0.0
20180305,29.62,23.56,2.28,179.69,6.16,0.0
20180306,29.82,22.75,1.79,180.19,6.04,0.0
20180307,29.84,25.12,1.53,166.44,5.9,0.0
20180308,29.62,26.94,2.02,141.62,5.77,0.0
20180309,29.42,29.5,1.81,114.44,5.78,0.0
20180310,30.2,31.5,1.43,117.38,5.64,0.0
20180311,30.22,31.38,1.84,148.31,4.94,0.17
20180312,30.1,30.12,1.53,160.94,5.34,0.02
20180313,30.44,29.06,1.98,150.94,6.47,0.0
20180314,31.04,23.75,1.74,166.38,6.21,0.01
20180315,31.43,28.56,2.16,253.62,3.88,0.57
20180316,28.18,39.25,2.49,96.44,2.49,0.43
20180317,28.05,46.12,0.88,100.5,5.81,0.0
20180318,29.58,35.31,1.49,86.38,6.45,0.0
20180319,30.05,31.25,1.09,123.69,6.0,0.0
20180320,30.99,30.31,1.1,180.0,5.55,0.0
20180321,32.17,29.0,1.68,212.44,5.96,0.0
20180322,31.69,23.38,1.8,323.88,6.72,0.0
20180323,30.77,18.56,2.05,229.81,6.97,0.0
20180324,30.82,18.12,1.62,60.5,6.96,0.0
20180325,30.88,19.94,1.67,43.75,6.23,0.0
20180326,31.62,18.25,1.3,134.5,6.61,0.0
20180327,32.51,16.88,1.08,156.88,6.88,0.0
20180328,33.45,18.69,1.31,225.56,6.66,0.0
20180329,32.98,17.62,1.26,219.94,6.54,0.05
20180330,32.95,24.12,1.62,153.94,6.27,0.43
20180331,33.73,39.31,3.02,171.5,5.54,1.32
20180401,32.86,40.44,2.35,152.62,5.88,1.82
20180402,31.92,40.94,2.48,153.5,6.57,0.0
20180403,31.48,43.19,1.99,143.94,6.25,0.0
20180404,32.9,36.0,2.5,168.88,5.92,0.1
20180405,33.16,38.38,2.89,186.0,5.44,0.93
20180406,32.44,39.31,2.11,202.69,4.93,1.54
20180407,32.41,36.62,2.23,148.31,4.8,5.27
20180408,29.92,49.62,1.82,193.88,4.05,5.11
20180409,30.52,46.0,2.16,166.75,6.77,0.0
20180410,31.33,44.5,2.33,151.56,6.96,0.0
20180411,31.61,43.19,2.02,167.81,6.71,0.0
20180412,32.34,36.12,1.45,151.0,6.52,0.1
20180413,33.18,35.25,2.45,160.25,7.18,0.0
20180414,33.7,37.06,2.36,161.19,6.38,0.03
20180415,32.61,40.88,2.68,169.62,5.45,1.62
20180416,34.74,31.56,1.38,112.0,7.02,0.0
20180417,35.81,30.88,1.78,131.88,7.13,0.0
20180418,36.83,27.0,1.99,210.81,6.96,0.0
20180419,36.29,20.25,2.01,215.62,7.06,0.0
20180420,36.1,22.44,1.69,232.81,7.25,0.0
20180421,35.54,26.44,1.53,141.25,7.33,0.0
20180422,35.55,31.44,1.23,116.94,6.54,0.05
20180423,36.12,29.06,1.7,223.62,6.89,0.0
20180424,35.52,21.62,1.48,157.94,6.76,0.0
20180425,34.25,35.88,2.2,139.81,7.13,0.0
20180426,35.05,30.0,2.65,154.94,6.66,0.12
20180427,35.71,28.25,3.09,157.38,7.04,0.0
20180428,35.08,34.56,3.62,176.38,7.14,0.0
20180429,36.57,26.69,2.55,173.0,6.92,0.0
20180430,36.96,25.44,2.25,274.75,7.22,0.0
20180501,36.64,30.5,2.07,109.5,6.71,0.0
20180502,36.24,38.25,3.16,176.44,6.78,0.0
20180503,34.59,43.5,3.89,165.69,3.81,2.89
20180504,33.19,46.38,2.91,171.12,6.65,0.0
20180505,34.51,42.62,3.3,179.31,6.93,1.09
20180506,35.64,37.06,3.29,188.19,5.81,0.58
20180507,35.62,34.69,2.11,206.44,6.92,0.18
20180508,36.21,35.56,2.4,164.75,6.36,1.11
20180509,36.26,35.62,2.7,159.25,6.34,0.07
20180510,35.71,36.62,3.52,163.25,6.73,0.04
20180511,35.96,35.56,3.35,179.0,6.74,0.0
20180512,36.15,35.44,3.28,173.62,6.82,0.34
20180513,34.47,40.12,2.5,192.5,5.52,0.28
20180514,35.01,38.0,3.01,174.69,6.46,10.1
20180515,34.54,37.44,2.32,171.69,7.07,0.0
20180516,35.19,32.12,2.46,156.0,6.49,0.28
20180517,35.81,33.06,3.13,156.62,6.61,0.0
20180518,36.29,33.88,2.8,211.56,6.59,0.06
20180519,37.19,28.19,3.02,148.75,6.8,0.0
20180520,36.37,36.44,3.35,170.56,6.91,0.0
20180521,34.28,41.44,4.34,166.81,5.9,0.0
20180522,33.12,46.44,2.41,179.25,6.23,0.03
20180523,35.15,40.5,3.09,174.75,4.69,4.99
20180524,34.33,42.12,4.15,167.75,5.88,0.0
20180525,36.11,33.0,2.95,174.75,6.57,0.0
20180526,35.82,38.94,3.86,166.06,6.64,0.01
20180527,34.27,47.38,1.92,213.5,6.38,0.0
20180528,36.04,38.12,3.37,185.94,6.81,0.0
20180529,36.51,38.06,3.26,228.38,6.29,0.0
20180530,38.08,31.94,3.06,255.0,5.81,0.0
20180531,33.53,45.88,3.04,207.56,3.47,0.5
20180601,33.73,49.75,1.54,208.75,5.43,0.09
20180602,29.48,62.0,0.94,154.69,2.73,1.15
20180603,33.05,50.12,1.48,191.0,6.31,0.0
20180604,34.08,46.75,2.69,240.56,6.0,0.39
20180605,32.98,47.38,2.79,192.38,4.72,4.09
20180606,31.23,61.12,1.99,215.31,5.87,6.14
20180607,29.59,71.56,2.25,268.19,4.84,1.91
20180608,29.52,71.31,2.19,254.94,3.59,11.25
20180609,27.4,77.81,3.71,262.62,4.49,0.85
20180610,28.94,70.94,4.62,270.44,4.25,18.83
20180611,27.87,80.0,4.09,263.5,2.4,17.54
20180612,29.09,73.44,3.92,267.44,4.87,0.65
20180613,30.8,62.75,3.87,266.81,6.61,0.02
20180614,31.94,56.81,3.73,277.25,5.84,0.24
20180615,32.02,54.88,3.4,271.5,6.5,0.11
20180616,32.06,49.69,4.36,284.5,6.91,0.63
20180617,31.31,51.81,4.02,270.69,6.93,0.35
20180618,30.79,55.81,4.02,262.56,6.49,0.0
20180619,30.16,64.56,2.56,262.5,6.57,0.22
20180620,29.87,64.94,2.17,202.19,6.31,1.92
20180621,29.9,68.81,1.36,229.44,5.7,13.27
20180622,29.34,71.44,1.52,94.81,5.17,25.66
20180623,28.83,75.69,1.01,138.75,5.24,0.1
20180624,27.38,76.69,3.01,254.5,5.37,0.0
20180625,29.26,64.5,3.73,243.5,5.54,0.49
20180626,28.93,65.75,4.24,260.19,4.79,3.16
20180627,27.49,77.75,3.53,270.94,4.69,18.5
20180628,26.85,79.12,3.16,246.56,3.06,7.99
20180629,28.52,69.94,2.06,233.25,5.12,9.8
20180630,28.76,66.25,2.11,235.81,6.48,0.32
20180701,28.88,66.25,2.45,254.81,5.64,0.29
20180702,29.62,63.12,2.31,263.31,5.68,3.76
20180703,29.0,65.88,3.99,258.31,4.54,0.5
20180704,28.28,69.19,3.55,265.0,4.9,2.49
20180705,27.88,75.81,3.3,270.12,4.9,35.42
20180706,26.62,81.5,3.8,287.0,2.65,14.41
20180707,24.9,82.25,5.02,269.44,2.79,8.43
20180708,26.14,86.56,3.98,285.06,1.07,31.36
20180709,26.11,86.06,4.12,277.44,1.38,19.37
20180710,26.34,81.25,3.54,280.0,3.07,0.88
20180711,26.98,77.62,3.61,266.19,1.73,3.15
20180712,26.37,82.0,4.45,267.25,2.4,12.13
20180713,26.73,82.19,3.45,269.38,3.26,20.75
20180714,26.66,82.44,3.36,268.62,2.38,2.46
20180715,26.44,85.44,3.44,264.31,2.64,13.19
20180716,26.28,85.31,3.95,247.69,2.29,9.41
20180717,27.1,81.06,4.27,265.31,3.23,0.29
20180718,27.5,79.19,3.59,274.0,5.19,3.86
20180719,27.13,81.5,3.12,263.69,5.14,2.56
20180720,25.98,85.5,3.73,270.44,3.08,31.85
20180721,25.9,85.25,3.61,269.19,2.45,2.03
20180722,26.19,83.69,3.43,268.44,3.07,1.33
20180723,27.15,78.31,3.36,269.06,3.99,0.26
20180724,27.51,76.81,3.34,266.44,4.11,0.1
20180725,27.37,79.25,3.02,280.62,4.9,0.01
20180726,26.66,79.88,3.05,268.25,3.9,1.98
20180727,27.14,78.31,2.89,266.44,4.66,0.02
20180728,27.73,76.19,2.7,271.19,3.53,0.03
20180729,27.29,79.81,2.65,300.12,4.9,0.07
20180730,27.66,77.5,2.45,283.69,5.54,0.04
20180731,27.68,76.12,3.0,291.31,4.53,0.54
20180801,27.9,76.0,2.79,286.94,4.68,2.38
20180802,27.68,77.12,3.12,291.12,4.22,0.21
20180803,27.57,78.38,2.61,293.81,5.36,0.05
20180804,27.76,76.19,3.03,290.38,5.57,0.0
20180805,27.62,75.12,3.38,297.31,5.22,0.3
20180806,27.12,77.62,3.33,290.38,4.33,2.36
20180807,26.16,82.12,3.05,296.38,3.17,7.6
20180808,26.04,81.56,3.08,282.75,2.45,0.71
20180809,27.27,78.56,2.47,284.19,4.27,0.61
20180810,27.81,78.12,3.49,302.94,4.13,5.82
20180811,26.44,85.44,3.81,303.25,0.72,132.09
20180812,25.87,85.88,4.09,281.94,2.95,3.31
20180813,26.47,82.56,3.35,268.56,3.56,0.9
20180814,26.01,84.56,3.23,288.25,3.3,1.59
20180815,25.29,90.5,3.79,291.19,1.45,66.74
20180816,26.47,88.38,3.52,267.06,2.27,27.81
20180817,25.43,85.69,4.17,258.5,2.02,2.78
20180818,25.55,85.81,3.38,277.12,2.98,14.88
20180819,26.05,87.44,3.65,292.88,2.43,11.41
20180820,24.36,91.75,4.85,284.31,1.4,43.63
